Model,Group,FPR,TPR
Decision Tree,Female,0.01097752221641401,0.42857142857142855
Decision Tree,Female Fair,0.01097752221641401,0.42857142857142855
Decision Tree,Male,0.0649736147757256,0.5298563869992441
Decision Tree,Male Fair,0.0649736147757256,0.5291005291005291
Neural Network,Female,0.01881860951385259,0.563265306122449
Neural Network,Female Fair,0.015682174594877155,0.5102040816326531
Neural Network,Male,0.09927440633245382,0.6318972033257747
Neural Network,Male Fair,0.09861477572559367,0.63567649281935
Decision Tree,White,0.04487024011642008,0.5141843971631206
Decision Tree,White Fair,0.04487024011642008,0.5134751773049645
Decision Tree,Black,0.019332161687170474,0.43010752688172044
Decision Tree,Black Fair,0.019332161687170474,0.43010752688172044
Decision Tree,Other,0.0,1.0
Decision Tree,Other Fair,0.0,1.0
Neural Network,White,0.07421780257094349,0.6297872340425532
Neural Network,White Fair,0.07082221683240358,0.6226950354609929
Neural Network,Black,0.02460456942003515,0.5376344086021505
Neural Network,Black Fair,0.026362038664323375,0.5698924731182796
Neural Network,Other,0.024390243902439025,1.0S
Neural Network,Other Fair,0.07317073170731707,1.0
